CRDC	Pad#	slope	intercept
0	0	1	0
0	1	1	0
0	2	1	0
0	3	1	0
0	4	1	0
0	5	1	0
0	6	1	0
0	7	1	0
0	8	1	0
0	9	1	0
0	10	1	0
0	11	1	0
0	12	1	0
0	13	1	0
0	14	1	0
0	15	1	0
0	16	1	0
0	17	1	0
0	18	1	0
0	19	1	0
0	20	1	0
0	21	1	0
0	22	1	0
0	23	1	0
0	24	1	0
0	25	1	0
0	26	1	0
0	27	1	0
0	28	1	0
0	29	1	0
0	30	1	0
0	31	1	0
0	32	1	0
0	33	1	0
0	34	1	0
0	35	1	0
0	36	1	0
0	37	1	0
0	38	1	0
0	39	1	0
0	40	1	0
0	41	1	0
0	42	1	0
0	43	1	0
0	44	1	0
0	45	1	0
0	46	1	0
0	47	1	0
0	48	1	0
0	49	0.3327	462.62
0	50	0.4187	409.58
0	51	0.2968	477.53
0	52	0.6224	268.26
0	53	1.1611	-102.79
0	54	1	0
0	55	0.4713	378.63
0	56	1	0
0	57	0.9734	108.81
0	58	1	0
0	59	1.0445	-2.3945
0	60	1	0
0	61	0.582	313.3
0	62	0.7308	230.35
0	63	0.01219	606.96
0	64	1	0
0	65	1	0
0	66	0.9008	142.86
0	67	0.8292	212.76
0	68	0.6008	308.22
0	69	0.5066	353.57
0	70	1	0
0	71	1	0
0	72	0.0029	666.04
0	73	1	0
0	74	1.5803	-304.47
0	75	0.7046	237.83
0	76	1.05101	6.8374
0	77	1	0
0	78	1.1816	-70.828
0	79	0.284	500.53
0	80	0.5674	300.47
0	81	0.8006	110.92
0	82	0.905	36.938
0	83	0.601	248.37
0	84	0.7748	120.48
0	85	0.644	243.39
0	86	0.6367	239.14
0	87	0.9521	24.052
0	88	1	0
0	89	1.5884	-430.23
0	90	0.8658	61.151
0	91	0.9197	42.616
0	92	1.1134	-105.96
0	93	0.538	323.21
0	94	0.7266	163.15
0	95	1.2212	-187.6
0	96	1	0
0	97	1.0443	-18.314
0	98	0.2568	517.53
0	99	0.8573	108.49
0	100	0.4878	346.68
0	101	1.1016	-63.514
