Chip Board	Chan Num	Telescope	Pie
4	16	0	112
4	17	0	113
4	18	0	114
4	19	0	115
4	20	0	116
4	21	0	117
4	22	0	118
4	23	0	119
4	24	0	120
4	25	0	121
4	26	0	122
4	27	0	123
4	28	0	124
4	29	0	125
4	30	0	126
4	31	0	127
4	0	0	96
4	1	0	97
4	2	0	98
4	3	0	99
4	4	0	100
4	5	0	101
4	6	0	102
4	7	0	103
4	8	0	104
4	9	0	105
4	10	0	106
4	11	0	107
4	12	0	108
4	13	0	109
4	14	0	110
4	15	0	111
3	16	0	80
3	17	0	81
3	18	0	82
3	19	0	83
3	20	0	84
3	21	0	85
3	22	0	86
3	23	0	87
3	24	0	88
3	25	0	89
3	26	0	90
3	27	0	91
3	28	0	92
3	29	0	93
3	30	0	94
3	31	0	95
3	0	0	64
3	1	0	65
3	2	0	66
3	3	0	67
3	4	0	68
3	5	0	69
3	6	0	70
3	7	0	71
3	8	0	72
3	9	0	73
3	10	0	74
3	11	0	75
3	12	0	76
3	13	0	77
3	14	0	78
3	15	0	79
2	16	0	48
2	17	0	49
2	18	0	50
2	19	0	51
2	20	0	52
2	21	0	53
2	22	0	54
2	23	0	55
2	24	0	56
2	25	0	57
2	26	0	58
2	27	0	59
2	28	0	60
2	29	0	61
2	30	0	62
2	31	0	63
2	0	0	32
2	1	0	33
2	2	0	34
2	3	0	35
2	4	0	36
2	5	0	37
2	6	0	38
2	7	0	39
2	8	0	40
2	9	0	41
2	10	0	42
2	11	0	43
2	12	0	44
2	13	0	45
2	14	0	46
2	15	0	47
1	16	0	16
1	17	0	17
1	18	0	18
1	19	0	19
1	20	0	20
1	21	0	21
1	22	0	22
1	23	0	23
1	24	0	24
1	25	0	25
1	26	0	26
1	27	0	27
1	28	0	28
1	29	0	29
1	30	0	30
1	31	0	31
1	0	0	0
1	1	0	1
1	2	0	2
1	3	0	3
1	4	0	4
1	5	0	5
1	6	0	6
1	7	0	7
1	8	0	8
1	9	0	9
1	10	0	10
1	11	0	11
1	12	0	12
1	13	0	13
1	14	0	14
1	15	0	15

