Chip Board	Chan Num	Telescope	Ring
6	31	0	0
7	0	0	1
6	30	0	2
7	1	0	3
6	29	0	4
7	2	0	5
6	28	0	6
7	3	0	7
6	27	0	8
7	4	0	9
6	26	0	10
7	5	0	11
6	25	0	12
7	6	0	13
6	24	0	14
7	7	0	15
6	23	0	16
7	8	0	17
6	22	0	18
7	9	0	19
6	21	0	20
7	10	0	21
6	20	0	22
7	11	0	23
6	19	0	24
7	12	0	25
6	18	0	26
7	13	0	27
6	17	0	28
7	14	0	29
6	16	0	30
7	15	0	31
6	15	0	32
7	16	0	33
6	14	0	34
7	17	0	35
6	13	0	36
7	18	0	37
6	12	0	38
7	19	0	39
6	11	0	40
7	20	0	41
6	10	0	42
7	21	0	43
6	9	0	44
7	22	0	45
6	8	0	46
7	23	0	47
6	7	0	48
7	24	0	49
6	6	0	50
7	25	0	51
6	5	0	52
7	26	0	53
6	4	0	54
7	27	0	55
6	3	0	56
7	28	0	57
6	2	0	58
7	29	0	59
6	1	0	60
7	30	0	61
6	0	0	62
7	31	0	63
5	31	0	64
8	0	0	65
5	30	0	66
8	1	0	67
5	29	0	68
8	2	0	69
5	28	0	70
8	3	0	71
5	27	0	72
8	4	0	73
5	26	0	74
8	5	0	75
5	25	0	76
8	6	0	77
5	24	0	78
8	7	0	79
5	23	0	80
8	8	0	81
5	22	0	82
8	9	0	83
5	21	0	84
8	10	0	85
5	20	0	86
8	11	0	87
5	19	0	88
8	12	0	89
5	18	0	90
8	13	0	91
5	17	0	92
8	14	0	93
5	16	0	94
8	15	0	95
5	15	0	96
8	16	0	97
5	14	0	98
8	17	0	99
5	13	0	100
8	18	0	101
5	12	0	102
8	19	0	103
5	11	0	104
8	20	0	105
5	10	0	106
8	21	0	107
5	9	0	108
8	22	0	109
5	8	0	110
8	23	0	111
5	7	0	112
8	24	0	113
5	6	0	114
8	25	0	115
5	5	0	116
8	26	0	117
5	4	0	118
8	27	0	119
5	3	0	120
8	28	0	121
5	2	0	122
8	29	0	123
5	1	0	124
8	30	0	125
5	0	0	126
8	31	0	127
